Date,Open,High,Low,Close,Volume
2013-12-03,32.903,33.207,32.848,33.049,60402622.0
2013-12-02,32.858,33.454,32.832,33.17,49785883.0
2013-11-29,32.626,33.032,32.626,32.893,25606662.0
2013-11-27,32.411,32.576,32.344,32.435,30140526.0
2013-11-26,32.411,32.478,32.221,32.221,39954312.0
2013-11-25,32.722,32.74,32.411,32.469,35525043.0
2013-11-22,32.375,32.506,32.204,32.411,32435212.0
2013-11-21,32.152,32.375,32.143,32.266,26718371.0
2013-11-20,31.851,32.276,31.799,31.988,37361703.0
2013-11-19,31.791,32.117,31.635,31.696,51316767.0
2013-11-18,31.977,32.176,31.739,31.851,62221830.0
2013-11-15,32.492,32.554,32.296,32.398,59100991.0
2013-11-14,32.465,32.645,32.296,32.554,53944010.0
2013-11-13,31.663,32.672,31.593,32.663,52500025.0
2013-11-12,32.005,32.194,31.851,31.987,36966463.0
2013-11-11,32.272,32.347,31.977,32.185,31386009.0
2013-11-08,32.253,32.347,31.968,32.347,42914506.0
2013-11-07,32.502,32.545,32.05,32.107,70594518.0
2013-11-06,31.886,32.723,31.73,32.689,103868362.0
2013-11-05,30.641,31.433,30.626,31.372,60349603.0
2013-11-04,30.472,30.807,30.438,30.773,32775304.0
2013-11-01,30.542,30.561,30.3,30.42,47032344.0
2013-10-31,30.515,30.561,30.259,30.313,48691980.0
2013-10-30,30.42,30.641,30.333,30.429,43216152.0
2013-10-29,30.508,30.585,30.188,30.411,37027548.0
2013-10-28,30.489,30.591,30.197,30.456,44830639.0
2013-10-25,30.719,31.073,30.368,30.591,132546130.0
2013-10-24,28.932,29.194,28.74,28.868,61835498.0
2013-10-23,29.411,29.533,28.829,28.905,68419665.0
2013-10-22,29.983,30.053,29.555,29.606,47229461.0
2013-10-21,29.949,30.138,29.889,29.959,32042774.0
2013-10-18,29.753,29.959,29.395,29.932,48831477.0
2013-10-17,29.497,29.959,29.425,29.899,36610120.0
2013-10-16,29.624,29.882,29.589,29.658,41007122.0
2013-10-15,29.686,29.959,29.514,29.533,55011651.0
2013-10-14,29.023,29.538,28.923,29.497,32413619.0
2013-10-11,28.837,29.231,28.837,29.222,35076696.0
2013-10-10,28.519,29.017,28.477,28.905,50070814.0
2013-10-09,28.316,28.554,28.219,28.316,41903573.0
2013-10-08,28.51,28.537,28.083,28.265,47855872.0
2013-10-07,28.769,28.86,28.427,28.51,40957872.0
2013-10-04,28.845,29.104,28.787,29.009,38533110.0
2013-10-03,29.009,29.11,28.612,28.991,45207758.0
2013-10-02,28.562,29.138,28.501,29.041,54815552.0
2013-10-01,28.546,28.778,28.51,28.749,42863355.0
2013-09-30,28.256,28.519,27.998,28.491,46529766.0
2013-09-27,28.154,28.895,28.144,28.484,64640446.0
2013-09-26,27.947,28.256,27.905,28.054,33275601.0
2013-09-25,27.815,28.083,27.74,27.834,33759057.0
2013-09-24,28.144,28.144,27.526,27.79,47006449.0
2013-09-23,27.861,28.228,27.824,28.032,46515711.0
2013-09-20,28.604,28.666,27.99,28.073,120186331.0
2013-09-19,28.666,28.837,28.529,28.804,49085229.0
2013-09-18,28.212,28.595,28.108,28.529,74869060.0
